Table 1,,,,
No.,"No.,Interrogatory Text,Response",No.,,
3.6,"Have you done business under a fictitious name during the past 10 years? If so, for each fictitious name state: (a) the name; (b) the dates each was used; (c) the state and county of each fictitious name filing; and (d) the ADDRESS of the principal place of business.",3.6,Not applicable. Plaintiff has not operated under any fictitious business name.,
3.7,"Within the past five years has any public entity registered or licensed your business? If so, for each license or registration: (a) identify the license or registration; (b) state the name of the public entity; and (c) state the dates of issuance and expiration.",3.7,Not applicable. Plaintiff is not operating a business requiring any license or registration.,
4.1,"At the time of the INCIDENT, was there in effect any policy of insurance through which you were or might be insured in any manner (for example, primary, pro-rata, or excess liability coverage or medical expense coverage) for the damages, claims, or actions that have arisen out of the INCIDENT? If so, for each policy state: (a) the kind of coverage;",4.1,"a) Renters Insurance Policy, including Personal Liability coverage and Medical Payments to Others coverage.",
,(b) the name and ADDRESS of the insurance company;,,"b) Allstate Insurance Company, 2775 Sanders Rd, Northbrook, IL 60062 (Note: Verify this address)",
,"(c) the name, ADDRESS, and telephone number of each named insured;",,"c) James S. Burbank and Jennifer Burbank, Address: 518 N Stoneman Ave Alhambra, Ca. 91801, Telephone Number: 213-858-1725",
,(d) the policy number;,,d) 967707309,
,(e) the limits of coverage for each type of coverage contained in the policy;,,"e) Family Liability Protection: $100,000 each occurrence; Guest Medical Protection: $1,000 each person. (Note: The policy includes other coverages and limits. Refer to policy documents for full details.)",
,(f) whether any reservation of rights or controversy or coverage dispute exists between you and the insurance company;,,"f) As of the date of this response, no reservation of rights has been issued by Allstate Insurance Company regarding this INCIDENT, and there is no known controversy or coverage dispute concerning this INCIDENT.",
,"(g) the name, ADDRESS, and telephone number of the custodian of the policy.",,"g) Name: [Insert Your Full Name], Address: [Insert Your Current Mailing Address], Telephone Number: [Insert Your Current Phone Number] (Note: This is typically the policyholder)",
4.2,"Are you self-insured under any statute for the damages, claims, or actions that have arisen out of the INCIDENT? If so, specify the statute.",4.2,No. Plaintiff is not self-insured under any statute.,
6.1,"Do you attribute any physical, mental, or emotional injuries to the INCIDENT? (If your answer is “no,” do not answer interrogatories 6.2 through 6.7.)",6.1,"Yes. I sustained (1) a sprained ankle due to loose stairs, (2) emotional distress from landlord’s conduct and habitability issues, and (3) physical tension and pain (in neck/shoulders) linked to ongoing stress from these events.",
6.2,Identify each injury you attribute to the INCIDENT and the area of your body affected.,6.2,"(1) Sprained right ankle. (2) Emotional distress (anxiety, fear of eviction, stress) (3) Tension and pain in neck and shoulders.",
6.3,"Do you still have any complaints that you attribute to the INCIDENT? If so, for each complaint state: (a) a description; (b) whether the complaint is subsiding, remaining the same, or becoming worse; and (c) the frequency and duration.",6.3,"(a) Mild lingering ankle soreness with occasional stiffness; mental stress/anxiety still present due to ongoing habitability/landlord retaliation issues.
(b) Ankle pain subsided mostly over 4 weeks, with sharp pain occasionally recurring for several months; emotional stress remains ongoing.
(c) Ankle stiffness is occasional and short-lived; emotional distress is frequent and triggered by continuing landlord disputes. Neck/shoulder pain is a constant (throughout most of the day)",
6.4,"Did you receive any consultation or examination (except from expert witnesses covered by Code of Civil Procedure sections 2034.210–2034.310) or treatment from a HEALTH CARE PROVIDER for any injury you attribute to the INCIDENT? If so, for each HEALTH CARE PROVIDER state: (a) the name, ADDRESS, and telephone number; (b) the type of consultation, examination, or treatment provided; (c) the dates you received consultation, examination, or treatment; and (d) the charges to date.",6.4,"I did not see a doctor or healthcare provider for the ankle sprain; I self-treated with rest/ice/elevation.
I have not formally consulted a mental health professional for emotional distress. No charges.",
6.5,"Have you taken any medication, prescribed or not, as a result of injuries that you attribute to the INCIDENT? If so, for each medication state: (a) the name; (b) the PERSON who prescribed or furnished it; (c) the date it was prescribed or furnished; (d) the dates you began and stopped taking it; and (e) the cost to date.",6.5,"1. Primary Care Physician: Dr. Irina Jasper, MD, 960 E Green St #286, Pasadena, CA 91106, (626) 356-0340 – On 01-17-2025, I sought assistance for stress related neck/shoulder pain, was granted leave from work, and was referred for physical therapy and mental health follow-up. 2. Physical Therapist: Im Physical Therapy Inc, 2555 E Colorado Blvd #204, Pasadena, CA 91107, (626) 449-9910 – Began on 03-31-2025 for neck/shoulder pain evaluation/treatment; still ongoing.
Charges to date: to be determined ",
6.6,"Are there any other medical services necessitated by the injuries that you attribute to the INCIDENT that were not previously listed (for example, ambulance, nursing, prosthetics)? If so, for each service state: (a) the nature; (b) the date; (c) the cost; and (d) the name, ADDRESS, and telephone number of each provider.",6.6,"None other than the physical therapy and potential future mental health sessions. No ambulance, no home nursing, no prosthetics.",
6.7,"Has any HEALTH CARE PROVIDER advised that you may require future or additional treatment for any injuries that you attribute to the INCIDENT? If so, for each injury state: (a) the name and ADDRESS of each HEALTH CARE PROVIDER; (b) the complaints for which the treatment was advised; and (c) the nature, duration, and estimated cost of the treatment.",6.7,"Yes. My primary care physician recommended continued physical therapy for neck/shoulder pain. They also referred me to a mental health specialist for stress/anxiety. (a) [Doctor’s Name, Address, Phone] (b) Neck/shoulder tension and anxiety due to stress. (c) Physical therapy sessions ongoing; potential counseling/therapy if I decide to follow through. Costs are unknown or in process.",
7.1,"Do you attribute any loss of or damage to a vehicle or other property to the INCIDENT? If so, for each item of property: (a) describe the property; (b) describe the nature and location of the damage to the property; (c) state the amount of damage you are claiming for each item and how the amount was calculated; and (d) if the property was sold, state the name, ADDRESS, and telephone number of the seller, the date of sale, and the sale price.",7.1,"Damages to property, yet to be assessed.",
7.2,"Has a written estimate or evaluation been made for any item of property referred to in your answer to the preceding interrogatory? If so, for each estimate or evaluation state: (a) the name, ADDRESS, and telephone number of the PERSON who prepared it and the date prepared; (b) the name, ADDRESS, and telephone number of each PERSON who has a copy of it; and (c) the amount of damage stated.",7.2,No formal written estimate or evaluation has been made yet. The items were household goods and were discarded.,
7.3,"Has any item of property referred to in your answer to interrogatory 7.1 been repaired? If so, for each item state: (a) the date repaired; (b) a description of the repair; (c) the repair cost; (d) the name, ADDRESS, and telephone number of the PERSON who repaired it; and (e) the name, ADDRESS, and telephone number of the PERSON who paid for the repair.",7.3,"No. The damaged items were trashed, not repaired.",
8.1,"Do you attribute any loss of income or earning capacity to the INCIDENT? (If your answer is “no,” do not answer interrogatories 8.2 through 8.8.)",8.1,"Yes. I have been on stress leave since January 17, 2025, which I attribute to the landlord’s conduct and habitability issues.",
8.2,State: (a) the nature of your work; (b) your job title at the time of the INCIDENT; and (c) the date your employment began.,8.2,(a) Nature of work: Transportation/Truck Driving (b) Job Title: Truck Driver at Tony’s Fine Foods (c) Employment began: August 2023,
8.3,State the last date before the INCIDENT that you worked for compensation.,8.3,"January 17, 2025",
8.4,State your monthly income at the time of the INCIDENT and how the amount was calculated.,8.4,"I worked approximately 60 hours per week at $32/hour, with overtime pay after 40 hours, plus a $2,500 bonus that I missed due to not working.",
8.5,State the date you returned to work at each place of employment following the INCIDENT.,8.5,"I have not returned to work. I have remained on stress leave since January 17, 2025.",
8.6,State the dates you did not work and for which you lost income as a result of the INCIDENT.,8.6,"All dates from January 17, 2025, to present. I continue to be on leave with no current return date.",
8.7,State the total income you have lost to date as a result of the INCIDENT and how the amount was calculated.,8.7,"The exact amount is currently unknown; I am still on leave. My lost income will be calculated by multiplying my weekly or monthly pay rate (including overtime) plus any bonus I would have received, for the entire period I have been off work. I will supplement this response once I have precise payroll records.",
8.8,"Will you lose income in the future as a result of the INCIDENT? If so, state: (a) the facts on which you base this contention; (b) an estimate of the amount; (c) an estimate of how long you will be unable to work; and (d) how the claim for future income is calculated.",8.8,"Future wage loss, if any, will be based on the same pay rate (60 hours/week at $32/hour plus missed bonus) times the number of weeks/months I remain off work.",
9.1,"Are there any other damages that you attribute to the INCIDENT? If so, for each item of damage state: (a) the nature; (b) the date it occurred; (c) the amount; and (d) the name, ADDRESS, and telephone number of each PERSON to whom an obligation was incurred.",9.1,"Yes. Non-economic damages include emotional distress (anxiety, insomnia, fear of unauthorized entries), loss of quiet enjoyment, harassment-induced stress, inability to use patio areas due to holes/exposed piping, and pain and suffering from a sprained ankle and neck/shoulder tension; these occurred between February 2024 and present, amounts unascertained at this time, and obligation is owed by defendants Brad & Vicki Martinez (518 N Stoneman Ave, Alhambra, CA 91801; contact per lease), Gail D. Calhoun (Trustee, same address), and Lotus Property Management, Inc. (185 W F St., San Diego, CA 92101; (619) 814-2169).",
9.2,"Do any DOCUMENTS support the existence or amount of any item of damages claimed in interrogatory 9.1? If so, describe each document and state the name, ADDRESS, and telephone number of the PERSON who has each DOCUMENT.",9.2,"Yes. Supporting documents include email and text communication logs of landlord entries and harassment, videos and photographs of property defects and injuries, the October 24 2024 Blue Ribbon Property Inspection report by Tyler Molloy (300 E Bennett Ave, Unit 8, Glendora, CA 91741; (626) 223-5571), medical records and therapy referral notes for stress leave, and photographs from the day of the sprained ankle; originals are in plaintiff’s possession.",
10.1,"At any time before the INCIDENT did you have complaints or injuries that involved the same part of your body claimed to have been injured in the INCIDENT? If so, for each state: (a) a description of the complaint or injury; (b) the dates it began and ended; and (c) the name, ADDRESS, and telephone number of each HEALTH CARE PROVIDER whom you consulted or who examined or treated you.",10.1,"No. Prior to the INCIDENT, I had no complaints or injuries involving my right ankle, neck, shoulders, or regarding emotional distress.",
10.2,"List all physical, mental, and emotional disabilities you had immediately before the INCIDENT. (You may omit mental or emotional disabilities unless you attribute any mental or emotional injury to the INCIDENT.)",10.2,"I had no physical, mental, or emotional disabilities immediately before the INCIDENT that relate to the injuries claimed in this case.",
10.3,"At any time after the INCIDENT, did you sustain injuries of the kind for which you are now claiming damages? If so, for each incident giving rise to an injury state: (a) the date and the place it occurred; (b) the name, ADDRESS, and telephone number of any other PERSON involved; (c) the nature of any injuries you sustained; (d) the name, ADDRESS, and telephone number of each HEALTH CARE PROVIDER who you consulted or who examined or treated you; and (e) the nature of the treatment and its duration.",10.3,"Other than the injuries claimed in this case (sprained ankle, neck/shoulder tension, emotional distress), I have not sustained new injuries. For the injuries related to this case: (a) Ongoing from the date of the landlord’s failure to maintain habitable premises and subsequent harassment, approximately [Date range]. (b) No other third parties involved. (c) Sprained ankle, neck/shoulder pain from stress, and emotional distress. (d) [Primary Doctor’s Name, Clinic Address/Phone]; [Physical Therapist’s Name, Clinic Address/Phone]. (e) Medical leave advised, physical therapy prescribed, emotional distress counseling recommended but not yet begun.",
11.1,"Except for this action, in the past 10 years have you filed an action or made a written claim or demand for compensation for your personal injuries? If so, for each action, claim, or demand state: (a) the date, time, and place and location (closest street ADDRESS or intersection) of the INCIDENT giving rise to the action, claim, or demand; (b) the name, ADDRESS, and telephone number of each PERSON against whom the claim or demand was made or the action filed; (c) the court, names of the parties, and case number of any action filed; (d) the name, ADDRESS, and telephone number of any attorney representing you; (e) whether the claim or action has been resolved or is pending; and (f) a description of the injury.",11.1,"In the past 10 years, I have not filed any other action, claim, or demand for compensation for personal injuries other than the present action.",
11.2,"In the past 10 years have you made a written claim or demand for workers' compensation benefits? If so, for each claim or demand state: (a) the date, time, and place of the INCIDENT giving rise to the claim; (b) the name, ADDRESS, and telephone number of your employer at the time of the injury; (c) the name, ADDRESS, and telephone number of the workers’ compensation insurer and the claim number; (d) the period of time during which you received workers’ compensation benefits; (e) a description of the injury; (f) the name, ADDRESS, and telephone number of any HEALTH CARE PROVIDER who provided services; and (g) the case number at the Workers’ Compensation Appeals Board.",11.2,"No. In the past 10 years, I have not made any written claim or demand for workers’ compensation benefits.",
12.1,"State the name, ADDRESS, and telephone number of each individual: (a) who witnessed the INCIDENT or the events occurring immediately before or after the INCIDENT; (b) who made any statement at the scene of the INCIDENT; (c) who heard any statements made about the INCIDENT by any individual at the scene; and (d) who YOU OR ANYONE ACTING ON YOUR BEHALF claim has knowledge of the INCIDENT (except for expert witnesses covered by Code of Civil Procedure section 2034).",12.1,"James Burbank, Jennifer Burbank, Brad Martinez, Vicki Martinez, Gail D. Calhoun (Trustee), Dean Hauser, Sally Gutierrez (lotus property services inc), Brian Dale Gordon (lotus), Grace (lotus).",
12.2,"Have YOU OR ANYONE ACTING ON YOUR BEHALF interviewed any individual concerning the INCIDENT? If so, for each individual state: (a) the name, ADDRESS, and telephone number of the individual interviewed; (b) the date of the interview; and (c) the name, ADDRESS, and telephone number of the PERSON who conducted the interview.",12.2,No formal interviews have been conducted.,
12.3,"Have YOU OR ANYONE ACTING ON YOUR BEHALF obtained a written or recorded statement from any individual concerning the INCIDENT? If so, for each statement state: (a) the name, ADDRESS, and telephone number of the individual from whom the statement was obtained; (b) the name, ADDRESS, and telephone number of the individual who obtained the statement; (c) the date the statement was obtained; and (d) the name, ADDRESS, and telephone number of each PERSON who has the original statement or a copy.",12.3,No formal written or recorded statements from any individual have been obtained.,
12.4,"Do YOU OR ANYONE ACTING ON YOUR BEHALF know of any photographs, films, or videotapes depicting any place, object, or individual concerning the INCIDENT or plaintiff's injuries? If so, state: (a) the number of photographs or feet of film or videotape; (b) the places, objects, or persons photographed, filmed, or videotaped; (c) the date the photographs, films, or videotapes were taken; (d) the name, ADDRESS, and telephone number of the individual taking them; and (e) the name, ADDRESS, and telephone number of each PERSON who has the original or a copy.",12.4,"Yes. Approximately fifty to one-hundred digital photographs and videos depict interior and exterior property defects (including leaks, holes, exposed piping), unauthorized landlord entries, and notices posted on the door; these were taken by James and Jennifer Burbank between September 2023 and present, and the originals remain in their possession.",
12.5,"Do YOU OR ANYONE ACTING ON YOUR BEHALF know of any diagram, reproduction, or model of any place or thing (except for items developed by expert witnesses covered by Code of Civil Procedure sections 2034.210–2034.310) concerning the INCIDENT? If so, for each item state: (a) the type (diagram, reproduction, or model); (b) the subject matter; and (c) the name, ADDRESS, and telephone number of each PERSON who has it.",12.5,"No formal diagrams, reproductions, or models have been created beyond the photographs and videos described above.",
12.6,"Was a report made by any PERSON concerning the INCIDENT? If so, state: (a) the name, title, identification number, and employer of the PERSON who made the report; (b) the date and type of report made; (c) the name, ADDRESS, and telephone number of the PERSON for whom the report was made; and (d) the name, ADDRESS, and telephone number of each PERSON who has the original or a copy of the report.",12.6,"Yes. A professional building inspection report was prepared by Tyler Molloy of Blue Ribbon Property Inspections (300 E. Bennett Ave., Unit 8, Glendora, CA 91741; (626) 223-5571) on October 24, 2024 (Report No. TM01102424) documenting property defects, water intrusion, safety hazards, and repair recommendations; the original report is in Plaintiff’s possession.",
12.7,"Have YOU OR ANYONE ACTING ON YOUR BEHALF inspected the scene of the INCIDENT? If so, for each inspection state: (a) the name, ADDRESS, and telephone number of the individual making the inspection (except for expert witnesses covered by Code of Civil Procedure sections 2034.210–2034.310); and (b) the date of the inspection.",12.7,"James Burbank and Jennifer Burbank conducted multiple personal inspections of the premises between September 2023 and present, and a professional building inspection was performed by Tyler Molloy of Blue Ribbon Property Inspections (300 E. Bennett Ave., Unit 8, Glendora, CA 91741; (626) 223-5571) on October 24, 2024 Inspection Report - Blue Ribbon .pdf",
13.1,"Have YOU OR ANYONE ACTING ON YOUR BEHALF conducted surveillance of any individual involved in the INCIDENT or any party to this action? If so, for each surveillance state: (a) the name, ADDRESS, and telephone number of the individual or party; (b) the time, date, and place of the surveillance; (c) the name, ADDRESS, and telephone number of the individual who conducted the surveillance; and (d) the name, ADDRESS, and telephone number of each PERSON who has the original or a copy of any surveillance photograph, film, or videotape.",13.1,"Yes. Motion-activated doorbell and security camera recordings (approximately 20 video clips) captured Brad Martinez (518 N Stoneman Ave, Alhambra, CA 91801; contact per lease), Vicki Martinez (same), Gail D. Calhoun (Trustee; same), and Lotus Property Management staff entering or attempting entry at 518 N Stoneman Ave between January 27, 2025 and February 6, 2025; recordings were made by James and Jennifer Burbank (518 N Stoneman Ave, Alhambra, CA 91801; (626) XXX-XXXX) and originals are in their possession.",
13.2,"Has a written report been prepared on the surveillance? If so, for each written report state: (a) the title; (b) the date; (c) the name, ADDRESS, and telephone number of the individual who prepared the report; and (d) the name, ADDRESS, and telephone number of each PERSON who has the original or a copy.",13.2,No formal written surveillance report has been prepared; the electronic video files are the only records of surveillance and are held by James and Jennifer Burbank.,
14.1,"Do YOU OR ANYONE ACTING ON YOUR BEHALF contend that any PERSON involved in the INCIDENT violated any statute, ordinance, or regulation and that the violation was a legal (proximate) cause of the INCIDENT? If so, identify the name, ADDRESS, and telephone number of each PERSON and the statute, ordinance, or regulation that was violated.",14.1,"Yes. Defendants Brad Martinez and Vicki Martinez (and their agents Lotus Property Management, Inc.) violated California Civil Code §1942.5 (retaliatory eviction), Civil Code §1946.2 (failure to provide AB1482 exemption disclosure in the lease), and breached the implied warranty of habitability (Civil Code §§1941.1 & Health & Safety Code §17920.3), each of which proximately caused the nonrenewal and habitability harms.",
14.2,"Was any PERSON cited or charged with a violation of any statute, ordinance, or regulation as a result of this INCIDENT? If so, for each PERSON state: (a) the name, ADDRESS, and telephone number of the PERSON; (b) the statute, ordinance, or regulation allegedly violated; (c) whether the PERSON entered a plea in response to the citation or charge and, if so, the plea entered; and (d) the name and ADDRESS of the court or administrative agency, names of the parties, and case number.",14.2,No. No person has been cited or charged with any statutory or regulatory violation in connection with these matters.,
17.1,"Is your response to each request for admission served with these interrogatories an unqualified admission? If not, for each response that is not an unqualified admission: (a) state the number of the request; (b) state all facts on which you base your response; (c) state the names, ADDRESSES, and telephone numbers of all PERSONS who have knowledge of those facts; and (d) identify all DOCUMENTS and other tangible things that support your response and state the name, ADDRESS, and telephone number of the PERSON who has each DOCUMENT or thing.",17.1,"No. RFA 3 is denied— the dog was an ESA exempt from the “no pets” clause per Realtor’s representation and CA fair housing law; persons with knowledge: James & Jennifer Burbank (518 N Stoneman Ave, Alhambra, CA 91801; (626) XXX-XXXX) and Realtor; documents: Lease §13 “no pets” clause, ESA letter dated August 5, 2024, June 17, 2024 email/text to Vicki Martinez. Plaintiff first informed Defendants of the dog on 6-17-2024, when Vicki Martinez heard barking during a contractor visit and James Burbank immediately disclosed in a text/e-mail that the animal is an Emotional Support Animal (ESA); this disclosure was followed by Jennifer Burbank’s written reasonable-accommodation request and therapist ESA letter e-mailed 8-5-2024, and culminated in the fully-executed Animal Addendum on 8-23-2024—thereby negating any inference of concealment.  Persons with knowledge: James Burbank, Jennifer Burbank (518 N Stoneman Ave, Alhambra CA 91801, (626) xxx-xxxx) and Vicki Martinez (same address, contact via counsel).  Supporting documents: 6-17-2024 text/e-mail thread, 8-5-2024 ESA request e-mail with therapist letter, and Animal Addendum dated 8-23-2024, all in Plaintiffs’ custody. Written permission for the ESA dog was not executed until the Animal Addendum was signed by all parties on 8-23-2024; however, from lease inception the dog qualified as a disability-related ESA exempt from the “No Pets” clause under the federal Fair Housing Act (42 U.S.C. §3604(f)) and California Gov. Code §12955, as confirmed by the Realtor’s verbal representation at lease signing (9-4-2023) and the therapist’s ESA letter provided 8-5-2024; thus Plaintiffs were legally entitled to keep the animal prior to written approval.  Persons with knowledge: James Burbank, Jennifer Burbank, Vicki Martinez, and listing agent with Coldwell Banker Realty.  Supporting documents: Lease §13 (“No Pets”), Realtor e-mail 9-4-2023, therapist ESA letter 8-5-2024, and the 8-23-2024 Animal Addendum, copies in Plaintiffs’ custody. RFA 8 is denied—no prior permission was requested or granted before removal; persons: James & Jennifer Burbank; documents: absence of any permission email/text pre-May 22, 2024. RFA 9 is denied—removal did not cause damage, landlord acknowledged pre-existing water intrusion; persons: Brad Martinez; documents: May 22, 2024 inspection text, Blue Ribbon report (10/24/2024) Inspection Report - Blue Ribbon .pdf](file-service://file-R3qcEWX4zshhMWh2pVSXQK). RFA 10 is denied—no invoice or demand for payment was ever issued; persons: Brad & Vicki Martinez; documents: absence of any repair invoice or demand letter.","No. RFA 3 is denied— the dog was an ESA exempt from the “no pets” clause per Realtor’s representation and CA fair housing law; persons with knowledge: James & Jennifer Burbank (518 N Stoneman Ave, Alhambra, CA 91801; (626) XXX-XXXX) and Realtor; documents: Lease §13 “no pets” clause, ESA letter dated August 5, 2024, June 17, 2024 email/text to Vicki Martinez. Plaintiff first informed Defendants of the dog on 6-17-2024, when Vicki Martinez heard barking during a contractor visit and James Burbank immediately disclosed in a text/e-mail that the animal is an Emotional Support Animal (ESA); this disclosure was followed by Jennifer Burbank’s written reasonable-accommodation request and therapist ESA letter e-mailed 8-5-2024, and culminated in the fully-executed Animal Addendum on 8-23-2024—thereby negating any inference of concealment.  Persons with knowledge: James Burbank, Jennifer Burbank (518 N Stoneman Ave, Alhambra CA 91801, (626) xxx-xxxx) and Vicki Martinez (same address, contact via counsel).  Supporting documents: 6-17-2024 text/e-mail thread, 8-5-2024 ESA request e-mail with therapist letter, and Animal Addendum dated 8-23-2024, all in Plaintiffs’ custody. Written permission for the ESA dog was not executed until the Animal Addendum was signed by all parties on 8-23-2024; however, from lease inception the dog qualified as a disability-related ESA exempt from the “No Pets” clause under the federal Fair Housing Act (42 U.S.C. §3604(f)) and California Gov. Code §12955, as confirmed by the Realtor’s verbal representation at lease signing (9-4-2023) and the therapist’s ESA letter provided 8-5-2024; thus Plaintiffs were legally entitled to keep the animal prior to written approval.  Persons with knowledge: James Burbank, Jennifer Burbank, Vicki Martinez, and listing agent with Coldwell Banker Realty.  Supporting documents: Lease §13 (“No Pets”), Realtor e-mail 9-4-2023, therapist ESA letter 8-5-2024, and the 8-23-2024 Animal Addendum, copies in Plaintiffs’ custody. RFA 8 is denied—no prior permission was requested or granted before removal; persons: James & Jennifer Burbank; documents: absence of any permission email/text pre-May 22, 2024. RFA 9 is denied—removal did not cause damage, landlord acknowledged pre-existing water intrusion; persons: Brad Martinez; documents: May 22, 2024 inspection text, Blue Ribbon report (10/24/2024) Inspection Report - Blue Ribbon .pdf](file-service://file-R3qcEWX4zshhMWh2pVSXQK). RFA 10 is denied—no invoice or demand for payment was ever issued; persons: Brad & Vicki Martinez; documents: absence of any repair invoice or demand letter."
50.1,"For each agreement alleged in the pleadings: (a) identify each DOCUMENT that is part of the agreement and for each state the name, ADDRESS, and telephone number of each PERSON who has the DOCUMENT; (b) state each part of the agreement not in writing, the name, ADDRESS, and telephone number of each PERSON agreeing to that provision, and the date that part of the agreement was made; (c) identify all DOCUMENTS that evidence any part of the agreement not in writing and for each state the name, ADDRESS, and telephone number of each PERSON who has the DOCUMENT; (d) identify all DOCUMENTS that are part of any modification to the agreement, and for each state the name, ADDRESS, and telephone number of each PERSON who has the DOCUMENT; (e) state each modification not in writing, the date, and the name, ADDRESS, and telephone number of each PERSON agreeing to the modification, and the date the modification was made; (f) identify all DOCUMENTS that evidence any modification of the agreement not in writing and for each state the name, ADDRESS, and telephone number of each PERSON who has the DOCUMENT.",50.1,"For each agreement alleged in the pleadings: The primary written agreement is the Lease Agreement dated September 4, 2023; originals and copies are held by James & Jennifer Burbank (518 N Stoneman Ave, Alhambra, CA 91801; (626) XXX-XXXX), Brad & Vicki Martinez (same address; contact per lease), and Coldwell Banker Realty (2340 Coldwell Banker Realty, [address]; [phone]) . The only unwritten term was the listing Realtor’s verbal representation at lease signing that service animals/ESAs would be exempt from the “No Pets” clause; no written evidence exists. The only written modification is the Animal Addendum executed August 23, 2024, approving the ESA, held by tenants and landlords . The only unwritten modification was the mutual agreement on August 26, 2024 to withdraw the nonrenewal and continue month-to-month tenancy, communicated via email and held by tenants .",
